2019-01-20 14:31:41.355   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 1
2019-01-20 14:31:41.355   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.355   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 3
2019-01-20 14:31:41.355   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.355   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 0
2019-01-20 14:31:41.356   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.356   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 4
2019-01-20 14:31:41.356   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.356   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 2
2019-01-20 14:31:41.356   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.356   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 4
2019-01-20 14:31:41.357   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.357   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 1
2019-01-20 14:31:41.357   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.357   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 4
2019-01-20 14:31:41.357   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.357   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 3
2019-01-20 14:31:41.357   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.358   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 3
